Item ID	 UOM	 Item Name	
100P0185		CYL. MTG. PLATE
100P0186		PROFILE PLATE - RHS
100P0187		PROFILE PLATE - LHS
100P0188		FRONT PLATE
100P0189		SLIDE MTG. PLATE
100P0190		MS ANGLE
100P0191		P.T. MTG. ANGLE
100P0192		P.T. PLATE MTG. ANGLE
100P0193		P.T. MTG. PLATE
100P0194		BRIGHT FLAT
100P0195		RIB - 2
100P0196		RIB - 1
100P0197		BASE PLATE
100P0198		ANVIL 140 MM
100P0199		VERTICAL RIB
100P0200		SUPPORT PLATE
100P0201		BOTTOM BACKLITE 140 MM ANVIL
100P0202		SPACER BAKELITE
100P0203		FRONT BAKELITE-BOTTOM
100P0204		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	


Item ID		 UOM	 Item Name	
100P0002		20-30 KVA 300-350 C FRAME HAWKINS
100P0003		CYL. MTG. PLATE
100P0004		PROFILE PLATE - RHS
100P0005		PROFILE PLATE - LHS
100P0006		FRONT PLATE
100P0007		SLIDE MTG. PLATE
100P0008		MS ANGLE
100P0009		P.T. MTG. ANGLE
100P0010		P.T. PLATE MTG. ANGLE
100P0011		P.T. MTG. PLATE
100P0012		BRIGHT FLAT
100P0013		RIB - 2
100P0014		RIB - 1
100P0015		BASE PLATE
100P0016		ANVIL 140 MM
100P0017		VERTICAL RIB
100P0018		SUPPORT PLATE
100P0019		BOTTOM BACKLITE 140 MM ANVIL
100P0020		SPACER BAKELITE
100P0021		FRONT BAKELITE-BOTTOM
100P0022		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0023		20-30 KVA 300-350 C FRAME HAWKINS
100P0024		CYL. MTG. PLATE
100P0025		PROFILE PLATE - RHS
100P0026		PROFILE PLATE - LHS
100P0027		FRONT PLATE
100P0028		SLIDE MTG. PLATE
100P0029		MS ANGLE
100P0030		P.T. MTG. ANGLE
100P0031		P.T. PLATE MTG. ANGLE
100P0032		P.T. MTG. PLATE
100P0033		BRIGHT FLAT
100P0034		RIB - 2
100P0035		RIB - 1
100P0036		BASE PLATE
100P0037		ANVIL 140 MM
100P0038		VERTICAL RIB
100P0039		SUPPORT PLATE
100P0040		BOTTOM BACKLITE 140 MM ANVIL
100P0041		SPACER BAKELITE
100P0042		FRONT BAKELITE-BOTTOM
100P0043		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0044		20-30 KVA 300-350 C FRAME HAWKINS
100P0045		CYL. MTG. PLATE
100P0046		PROFILE PLATE - RHS
100P0047		PROFILE PLATE - LHS
100P0048		FRONT PLATE
100P0049		SLIDE MTG. PLATE
100P0050		MS ANGLE
100P0051		P.T. MTG. ANGLE
100P0052		P.T. PLATE MTG. ANGLE
100P0053		P.T. MTG. PLATE
100P0054		BRIGHT FLAT
100P0055		RIB - 2
100P0056		RIB - 1
100P0057		BASE PLATE
100P0058		ANVIL 140 MM
100P0059		VERTICAL RIB
100P0060		SUPPORT PLATE
100P0061		BOTTOM BACKLITE 140 MM ANVIL
100P0062		SPACER BAKELITE
100P0063		FRONT BAKELITE-BOTTOM
100P0064		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0065		20-30 KVA 300-350 C FRAME HAWKINS
100P0066		CYL. MTG. PLATE
100P0067		PROFILE PLATE - RHS
100P0068		PROFILE PLATE - LHS
100P0069		FRONT PLATE
100P0070		SLIDE MTG. PLATE
100P0071		MS ANGLE
100P0072		P.T. MTG. ANGLE
100P0073		P.T. PLATE MTG. ANGLE
100P0074		P.T. MTG. PLATE
100P0075		BRIGHT FLAT
100P0076		RIB - 2
100P0077		RIB - 1
100P0078		BASE PLATE
100P0079		ANVIL 140 MM
100P0080		VERTICAL RIB
100P0081		SUPPORT PLATE
100P0082		BOTTOM BACKLITE 140 MM ANVIL
100P0083		SPACER BAKELITE
100P0084		FRONT BAKELITE-BOTTOM
100P0085		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0086		20-30 KVA 300-350 C FRAME HAWKINS
100P0087		CYL. MTG. PLATE
100P0088		PROFILE PLATE - RHS
100P0089		PROFILE PLATE - LHS
100P0090		FRONT PLATE
100P0091		SLIDE MTG. PLATE
100P0092		MS ANGLE
100P0093		P.T. MTG. ANGLE
100P0094		P.T. PLATE MTG. ANGLE
100P0095		P.T. MTG. PLATE
100P0096		BRIGHT FLAT
100P0097		RIB - 2
100P0098		RIB - 1
100P0099		BASE PLATE
100P0100		ANVIL 140 MM
100P0101		VERTICAL RIB
100P0102		SUPPORT PLATE
100P0103		BOTTOM BACKLITE 140 MM ANVIL
100P0104		SPACER BAKELITE
100P0105		FRONT BAKELITE-BOTTOM
100P0106		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0107		20-30 KVA 300-350 C FRAME HAWKINS
100P0108		CYL. MTG. PLATE
100P0109		PROFILE PLATE - RHS
100P0110		PROFILE PLATE - LHS
100P0111		FRONT PLATE
100P0112		SLIDE MTG. PLATE
100P0113		MS ANGLE
100P0114		P.T. MTG. ANGLE
100P0115		P.T. PLATE MTG. ANGLE
100P0116		P.T. MTG. PLATE
100P0117		BRIGHT FLAT
100P0118		RIB - 2
100P0119		RIB - 1
100P0120		BASE PLATE
100P0121		ANVIL 140 MM
100P0122		VERTICAL RIB
100P0123		SUPPORT PLATE
100P0124		BOTTOM BACKLITE 140 MM ANVIL
100P0125		SPACER BAKELITE
100P0126		FRONT BAKELITE-BOTTOM
100P0127		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0128		20-30 KVA 300-350 C FRAME HAWKINS
100P0129		CYL. MTG. PLATE
100P0130		PROFILE PLATE - RHS
100P0131		PROFILE PLATE - LHS
100P0132		FRONT PLATE
100P0133		SLIDE MTG. PLATE
100P0134		MS ANGLE
100P0135		P.T. MTG. ANGLE
100P0136		P.T. PLATE MTG. ANGLE
100P0137		P.T. MTG. PLATE
100P0138		BRIGHT FLAT
100P0139		RIB - 2
100P0140		RIB - 1
100P0141		BASE PLATE
100P0142		ANVIL 140 MM
100P0143		VERTICAL RIB
100P0144		SUPPORT PLATE
100P0145		BOTTOM BACKLITE 140 MM ANVIL
100P0146		SPACER BAKELITE
100P0147		FRONT BAKELITE-BOTTOM
100P0148		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0149		20-30 KVA 300-350 C FRAME HAWKINS
100P0150		CYL. MTG. PLATE
100P0151		PROFILE PLATE - RHS
100P0152		PROFILE PLATE - LHS
100P0153		FRONT PLATE
100P0154		SLIDE MTG. PLATE
100P0155		MS ANGLE
